symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,exit_reason,ml_prob,regime,days_held
AAPL,2020-07-29,2020-08-03,92.1937,105.668,51.0,687.1893,0.1461520689591589,TP_HIT,0.21830985915492956,low_vol_choppy,5
MSFT,2020-07-27,2020-08-19,196.04,202.166,22.0,134.7720000000001,0.031248724750051027,TIMEOUT,0.2808510638297873,low_vol_choppy,23
AAPL,2020-08-03,2020-08-26,105.668,122.953,72.0,1244.5199999999998,0.16357837755990468,TIMEOUT,0.8666666666666667,low_vol_choppy,23
AMZN,2020-12-16,2021-01-08,162.048,159.135,89.0,-259.25700000000097,-0.01797615521327023,TIMEOUT,0.5791190864600326,low_vol_choppy,23
MSFT,2020-12-16,2021-01-08,211.962,212.294,71.0,23.572000000001566,0.001566318491050378,TIMEOUT,0.5791190864600326,low_vol_choppy,23
GOOGL,2021-01-05,2021-01-20,86.6882,93.664,320.0,2232.256000000002,0.08047000629843515,TP_HIT,1.0,low_vol_choppy,15
MSFT,2021-01-13,2021-02-01,209.119,231.653,86.0,1937.9239999999993,0.10775682745231174,TP_HIT,0.7859649122807018,low_vol_choppy,19
AMZN,2021-01-20,2021-02-12,163.169,163.886,61.0,43.73699999999906,0.004394217038775627,TIMEOUT,0.45112781954887216,low_vol_choppy,23
GOOGL,2021-01-20,2021-02-12,93.664,104.373,120.0,1285.0800000000004,0.11433421592073789,TIMEOUT,0.5791190864600326,low_vol_choppy,23
MSFT,2021-03-10,2021-04-05,225.176,241.322,39.0,629.6940000000006,0.07170391160692091,TIMEOUT,0.2808510638297873,low_vol_choppy,26
GOOGL,2021-03-12,2021-04-05,102.129,110.547,113.0,951.2339999999991,0.08242516816966772,TIMEOUT,0.5791190864600326,low_vol_choppy,24
GOOGL,2021-05-05,2021-05-12,115.32,109.614,111.0,-633.3659999999987,-0.049479708636836484,SL_HIT,0.3181818181818182,low_vol_choppy,7
AAPL,2021-06-14,2021-07-07,127.413,141.182,217.0,2987.8729999999982,0.10806589594468385,TP_HIT,0.8571428571428571,low_vol_choppy,23
AMZN,2021-06-16,2021-07-07,170.762,184.829,155.0,2180.385000000001,0.08237781239385811,TP_HIT,0.5791190864600326,low_vol_choppy,21
MSFT,2021-07-06,2021-07-29,269.63,278.213,143.0,1227.3690000000038,0.03183251121907804,TIMEOUT,0.7241379310344828,low_vol_choppy,23
AAPL,2021-08-16,2021-09-08,147.802,151.693,216.0,840.4560000000042,0.026325760138563803,TIMEOUT,0.7647058823529411,low_vol_choppy,23
MSFT,2021-08-20,2021-09-13,296.116,288.958,85.0,-608.4299999999964,-0.024172959245700842,TIMEOUT,0.3525423728813559,low_vol_choppy,24
